Information,latinamerica_spanish,latinamerica_spanish_scores,latinamerica_spanish_recomendacion,Felipe_latinamerica_spanish,Felipe,Acuerdo_latinamerica_spanish,europe_spanish,europe_spanish_scores,europe_spanish_recomendacion,Andrea,Felipe_europe_spanish,Acuerdo_europe_spanish,northamerica_english,northamerica_english_scores,northamerica_english_recomendacion,Andrea,Felipe_northamerica_english,Acuerdo_northamerica_english,europe_english,europe_english_scores,europe_english_recomendacion,Andrea,Felipe_europe_english,Acuerdo_europe_english,asia_english,asia_english_scores,asia_english_recomendacion,Andrea,Felipe_asia_english,Acuerdo_asia_english,full_spanish,full_spanish_scores,full_spanish_recomendacion,Andrea,Felipe_full_spanish,Acuerdo_full_spanish,full_english,full_english_scores,full_english_recomendacion,Andrea,Felipe_full_english,Acuerdo_full_english,Termino_Central
35,redsocial,0.269595921,-,"Data collection, handling and/or storage","Data collection, handling and/or storage","Data collection, handling and/or storage",restaurarlos,0.3288474083,-,Action,Action,Action,consent,0.3314692974,"['Ownership agency<--information', 'Ownership agency<--users', 'Ownership agency<--privacy']",Ownership agency,Ownership agency,Ownership agency,valuable,0.2313180268,-,Attribute or characteristic,Attribute or characteristic,Attribute or characteristic,profiling,0.257450819,-,"Data collection, handling and/or storage","Data collection, handling and/or storage","Data collection, handling and/or storage",usan,0.2483465821,"['Data collection, handling and/or storage<--informacion', 'Action<--usuarios']","Data collection, handling and/or storage","Data collection, handling and/or storage","Data collection, handling and/or storage",services,0.3639571667,"['Data collection, handling and/or storage<--information']","Data collection, handling and/or storage","Data collection, handling and/or storage","Data collection, handling and/or storage",Information
36,limito,0.2672966719,-,Action,Action,Action,medicos,0.3278151751,-,Third party,Third party,Third party,profit,0.3310281038,-,Reaction or attitude,Reaction or attitude,Reaction or attitude,collect,0.2299541533,-,"Data collection, handling and/or storage","Data collection, handling and/or storage","Data collection, handling and/or storage",permissions,0.2556222379,['Ownership agency<--users'],Ownership agency,Ownership agency,Ownership agency,ciberdelincuente,0.2478339523,['Privacy & security risks<--informacion'],Privacy & security risks,Privacy & security risks,Privacy & security risks,profile,0.3629174232,['Data & Information<--information'],Data & Information,Data & Information,Data & Information,Information
37,falsas,0.2668374479,-,Attribute or characteristic,Attribute or characteristic,Attribute or characteristic,pensabas,0.3252052963,-,Undetermined,Undetermined,Undetermined,opt,0.3250803947,"['Ownership agency<--information', 'Ownership agency<--users', 'Ownership agency<--privacy']",Ownership agency,Ownership agency,Ownership agency,order,0.2286409438,-,Action,Action,Action,opt,0.2550756633,"['Ownership agency<--information', 'Ownership agency<--users', 'Ownership agency<--privacy']",Ownership agency,Ownership agency,Ownership agency,ilegalmente,0.2475691438,"['Privacy & security risks<--empresa', 'Privacy & security risks<--informacion', 'Privacy & security risks<--usuarios']",Privacy & security risks,Privacy & security risks,Privacy & security risks,knowingly,0.3620482385,['Reaction or attitude<--information'],Reaction or attitude,Reaction or attitude,Reaction or attitude,Information
38,adecuado,0.2660827637,['Attribute or characteristic<--informacion'],Attribute or characteristic,Attribute or characteristic,Attribute or characteristic,supone,0.3228701651,['Reaction or attitude<--privacidad'],Reaction or attitude,Reaction or attitude,Reaction or attitude,analyzed,0.3237857819,-,"Data collection, handling and/or storage","Data collection, handling and/or storage","Data collection, handling and/or storage",disclose,0.2284379452,-,Privacy & security risks,Privacy & security risks,Privacy & security risks,privileges,0.2526689768,-,Privacy & security terms,Privacy & security terms,Privacy & security terms,aceptar,0.2472471297,['Ownership agency<--informacion'],Ownership agency,Ownership agency,Ownership agency,databases,0.3605925143,"['Data collection, handling and/or storage<--information']","Data collection, handling and/or storage","Data collection, handling and/or storage","Data collection, handling and/or storage",Information
39,identificar,0.2639088631,-,Privacy & security terms,Privacy & security terms,Privacy & security terms,infinitywar,0.3227421641,-,Undetermined,Undetermined,Undetermined,apps,0.3229414821,"['Data collection, handling and/or storage<--information', 'Data collection, handling and/or storage<--users', 'Data collection, handling and/or storage<--privacy']","Data collection, handling and/or storage","Data collection, handling and/or storage","Data collection, handling and/or storage",docs,0.2279507816,-,Data & Information,Data & Information,Data & Information,importantly,0.2499017268,-,Undetermined,Undetermined,Undetermined,telefonicas,0.2457303703,['Undetermined<--informacion'],Undetermined,Undetermined,Undetermined,pii,0.3592600822,['Data & Information<--information'],Data & Information,Data & Information,Data & Information,Information
40,dado,0.2627335191,-,,,,conducta,0.3225688338,-,,,,content,0.3204387426,-,,,,knowingly,0.2274113744,['Reaction or attitude<--information'],,,,process,0.2482016832,-,,,,compensacion,0.2430278361,-,,,,customers,0.3580600023,['Third party<--users'],,,,
41,responsabilidad,0.2610286474,-,,,,analiticos,0.3223839998,-,,,,platform,0.3194734454,"['Data collection, handling and/or storage<--company', 'Data collection, handling and/or storage<--users']",,,,privacy,0.2269545943,['Privacy & security terms<--users'],,,,entities,0.2476771623,['Third party<--company'],,,,cambridge,0.2429934442,"['Companies and Organizations<--empresa', 'Companies and Organizations<--usuarios']",,,,preferences,0.3568553627,-,,,,
42,info,0.2609631717,"['Synonymous<--informacion', 'Synonymous<--information', 'Data & Information<--users']",,,,plazo,0.3170355558,-,,,,lists,0.3165827394,-,,,,adverts,0.2265600562,-,,,,personal,0.2465310246,"['Attribute or characteristic<--company', 'Attribute or characteristic<--informacion', 'Attribute or characteristic<--information', 'Attribute or characteristic<--users', 'Attribute or characteristic<--privacy']",,,,permite,0.2421897054,-,,,,unauthorized,0.3558422327,-,,,,
43,viatec,0.2600234151,"['Third party<--informacion', 'Third party<--privacidad']",,,,dormir,0.3165534735,-,,,,unknowingly,0.3135777414,-,,,,enable,0.2256431878,-,,,,authentic,0.2465272993,-,,,,terminos,0.2399143279,-,,,,identification,0.3556157351,-,,,,
44,personales,0.2562275827,"['Attribute or characteristic<--informacion', 'Attribute or characteristic<--usuarios']",,,,quita,0.3165007234,-,,,,services,0.3121903539,"['Data collection, handling and/or storage<--information']",,,,emails,0.2249300033,-,,,,peoples,0.2459486872,['Users<--users'],,,,dispuestos,0.2393502295,-,,,,consumers,0.3543902934,"['Users<--users', 'Users<--privacy']",,,,
45,manera,0.2562201023,['Undetermined<--empresa'],,,,espiamos,0.3155645132,-,,,,analyze,0.3096696436,-,,,,exploit,0.2241877615,-,,,,quizzes,0.2442301959,-,,,,inec,0.2379564643,-,,,,app,0.3530495167,"['Data collection, handling and/or storage<--company', 'Data collection, handling and/or storage<--users']",,,,
46,partes,0.2556969523,-,,,,contrasenas,0.3140716255,['Security mechanisms<--privacidad'],,,,consumers,0.3076417744,"['Users<--users', 'Users<--privacy']",,,,api,0.2232943773,-,,,,infos,0.241562441,-,,,,ilegal,0.2379069328,['Privacy & security risks<--usuarios'],,,,identity,0.3522979319,-,,,,
47,combina,0.2554558218,-,,,,habitantes,0.3138459921,-,,,,tools,0.3072198927,-,,,,apps,0.2226139605,"['Data collection, handling and/or storage<--information', 'Data collection, handling and/or storage<--users', 'Data collection, handling and/or storage<--privacy']",,,,passwords,0.2412359267,-,,,,contrasenas,0.2367659509,['Security mechanisms<--privacidad'],,,,aggregated,0.3520767093,-,,,,
48,victima,0.2553182244,-,,,,logrado,0.3137854636,-,,,,product,0.3067805171,['Undetermined<--company'],,,,analyse,0.2223991454,-,,,,transparent,0.2407735586,-,,,,impuesto,0.2365479171,-,,,,purposes,0.3513375521,-,,,,
49,consumidores,0.2524881661,-,,,,instalar,0.3132497072,-,,,,surreptitiously,0.3062485158,-,,,,datasets,0.2222451866,-,,,,loan,0.2404683679,-,,,,sensible,0.2363864481,"['Undetermined<--empresa', 'Undetermined<--usuarios']",,,,identities,0.3483626246,-,,,,
50,conscientes,0.2514036894,['Reaction or attitude<--privacidad'],,,,info,0.3131555915,"['Synonymous<--informacion', 'Synonymous<--information', 'Data & Information<--users']",,,,entities,0.3057013154,['Third party<--company'],,,,identities,0.2218888998,-,,,,stalking,0.2400042117,-,,,,confianza,0.2353671342,-,,,,consented,0.3477619886,-,,,,
51,usted,0.2513702214,-,,,,actividad,0.3130090833,['Data & Information<--informacion'],,,,individuals,0.3045319915,"['Third party<--information', 'Third party<--users']",,,,patients,0.2212194949,-,,,,identities,0.2396529168,-,,,,consumidores,0.2343914658,-,,,,content,0.3474253416,-,,,,
52,compania,0.2509639859,['Synonymous<--empresa'],,,,dispositivos,0.3117591739,-,,,,voluntarily,0.3043560088,['Reaction or attitude<--information'],,,,experian,0.2208330184,-,,,,review,0.2396118045,-,,,,indiscriminada,0.2330708802,-,,,,exploit,0.3458929658,-,,,,
53,haria,0.2508610785,-,,,,diablo,0.3090175092,-,,,,devices,0.3034918606,-,,,,content,0.2205072343,-,,,,site,0.2389033437,"['Data collection, handling and/or storage<--company']",,,,venderlos,0.2320244312,-,,,,third,0.3458519876,-,,,,
54,estimada,0.2507968545,-,,,,acorde,0.3089271188,-,,,,databases,0.3027326465,"['Data collection, handling and/or storage<--information']",,,,servers,0.2197357714,-,,,,records,0.2387826145,"['Data collection, handling and/or storage<--information']",,,,hacker,0.2312832624,-,,,,millions,0.3442862928,-,,,,
55,permite,0.2503087521,-,,,,llevando,0.3067854047,-,,,,identifiers,0.302290976,['Security mechanisms<--information'],,,,derived,0.2197085023,-,,,,millions,0.2384519279,-,,,,seguros,0.2302920222,['Privacy & security terms<--privacidad'],,,,anonymised,0.3432207704,-,,,,
56,opperwebnews,0.2500025034,-,,,,rodea,0.3066146076,-,,,,whether,0.30187428,-,,,,potentially,0.2193384767,-,,,,relationship,0.2383953184,-,,,,peligros,0.229524523,-,,,,stored,0.3421336412,-,,,,
57,hecho,0.2494590431,-,,,,modos,0.306063354,-,,,,customers,0.3015925288,['Third party<--users'],,,,willingly,0.218562305,['Reaction or attitude<--information'],,,,amex,0.237429902,-,,,,evitar,0.2289030254,['Ownership agency<--usuarios'],,,,illegaly,0.341155529,-,,,,
58,pagado,0.2484117448,-,,,,caracter,0.3056558371,-,,,,service,0.3007557094,['Action<--company'],,,,records,0.2180141211,"['Data collection, handling and/or storage<--information']",,,,customers,0.2371359169,['Third party<--users'],,,,opinion,0.2283691466,-,,,,online,0.3408496976,-,,,,
59,reconocido,0.24760741,-,,,,paciente,0.3050292134,-,,,,psychological,0.3005651832,-,,,,processed,0.2177915126,-,,,,filipino,0.2368776053,-,,,,autorizado,0.2281337976,-,,,,email,0.3382955492,-,,,,
60,dudosa,0.2471184134,-,,,,instalaron,0.304959476,-,,,,identification,0.2993248701,-,,,,private,0.2172894478,"['Attribute or characteristic<--information', 'Attribute or characteristic<--users', 'Synonymous<--privacy']",,,,engage,0.2366719246,-,,,,limito,0.2277491242,-,,,,service,0.3382340372,['Action<--company'],,,,
61,acceder,0.2467777729,-,,,,transferencias,0.3047402501,-,,,,purposes,0.2979063392,-,,,,fb,0.2164985538,"['Companies and Organizations<--company', 'Companies and Organizations<--information', 'Companies and Organizations<--users', 'Companies and Organizations<--privacy']",,,,cleanup,0.2353084683,-,,,,anunciantes,0.2269595414,['Companies and Organizations<--usuarios'],,,,profit,0.3374164701,-,,,,
62,suceso,0.2451387495,-,,,,destapado,0.3044792414,-,,,,abused,0.2932659686,-,,,,freely,0.2162892818,['Reaction or attitude<--information'],,,,authorization,0.2352742851,-,,,,venderla,0.2266743481,-,,,,parties,0.3362832069,-,,,,
63,privados,0.2445886433,"['Attribute or characteristic<--informacion', 'Attribute or characteristic<--usuarios']",,,,union,0.3044110835,-,,,,browsing,0.2931296527,-,,,,abused,0.2155102193,-,,,,unauthorized,0.2351181209,-,,,,incorrectamente,0.226157397,-,,,,privacy,0.3348161578,['Privacy & security terms<--users'],,,,
64,agencia,0.2424468249,-,,,,movida,0.3038729429,-,,,,pii,0.2900469005,['Data & Information<--information'],,,,stuff,0.2154783309,-,,,,signed,0.2347422391,-,,,,permiso,0.2260266393,-,,,,whether,0.3337120116,-,,,,
65,vida,0.2422009706,-,,,,alcalaparatodos,0.3033878803,-,,,,online,0.2892341912,-,,,,documents,0.2147351503,-,,,,platform,0.2339143157,"['Data collection, handling and/or storage<--company', 'Data collection, handling and/or storage<--users']",,,,culpa,0.2252993435,-,,,,illegally,0.3329476714,-,,,,
66,recabo,0.2421907783,-,,,,expuesta,0.3026171625,-,,,,accounts,0.288949132,['Data & Information<--users'],,,,extensions,0.2146579623,-,,,,collect,0.2339081913,-,,,,conscientes,0.224698782,['Reaction or attitude<--privacidad'],,,,accounts,0.3325691819,['Data & Information<--users'],,,,
67,inec,0.2421326935,-,,,,bebidas,0.3024548292,-,,,,reams,0.2884761989,-,,,,quizzes,0.2137562931,-,,,,expects,0.2333996892,-,,,,conocidos,0.2243013829,-,,,,platform,0.3323695064,"['Data collection, handling and/or storage<--company', 'Data collection, handling and/or storage<--users']",,,,
68,masivo,0.2414197326,-,,,,confian,0.3016342819,-,,,,preferences,0.2881020904,-,,,,service,0.2126443088,['Action<--company'],,,,potential,0.2327805459,-,,,,espanoles,0.2240265161,-,,,,use,0.3306013048,['Action<--users'],,,,
69,iluminacion,0.2412616014,-,,,,explicaciones,0.300955534,-,,,,quiz,0.2873470187,-,,,,sites,0.2116011083,"['Data collection, handling and/or storage<--users']",,,,identity,0.2320498824,-,,,,similar,0.2239080667,-,,,,individual,0.3301247358,-,,,,
70,copias,0.2399008125,-,,,,soporte,0.3001797795,-,,,,vpns,0.2871727645,-,,,,location,0.2115687728,-,,,,targeted,0.2315179259,-,,,,confidenciales,0.2238450199,['Attribute or characteristic<--usuarios'],,,,knowledge,0.3293017745,-,,,,
71,garantizado,0.2398228049,-,,,,pedagogia,0.2995060086,-,,,,granular,0.2864788771,-,,,,abusing,0.2109864354,-,,,,safeguarding,0.2307597995,-,,,,tablon,0.2236577868,-,,,,datasets,0.329082489,-,,,,
72,analytic,0.2382190228,-,,,,eficiente,0.2982804775,-,,,,use,0.2855067849,['Action<--users'],,,,email,0.2105850577,-,,,,recommend,0.2305969149,-,,,,estafas,0.2235595137,['Privacy & security risks<--privacidad'],,,,hackers,0.3281542659,-,,,,
73,operacion,0.2378455251,-,,,,codigo,0.2981018126,-,,,,photos,0.2854193449,-,,,,consent,0.210467726,"['Ownership agency<--information', 'Ownership agency<--users', 'Ownership agency<--privacy']",,,,messages,0.2298224866,['Data & Information<--information'],,,,legalmente,0.2235221118,-,,,,emails,0.3279444575,-,,,,
74,creia,0.2372177988,-,,,,protegerlos,0.2978391945,-,,,,identity,0.2848676443,-,,,,customers,0.2098767459,['Third party<--users'],,,,without,0.2292786688,-,,,,permitido,0.2233963907,-,,,,unknowingly,0.3257635832,-,,,,
75,vinculada,0.2367882282,-,,,,reducido,0.2974410653,-,,,,habits,0.2832190394,-,,,,legal,0.2096625865,-,,,,authentication,0.2282841802,-,,,,marca,0.2232721448,['Undetermined<--empresa'],,,,database,0.3243426383,-,,,,
76,seguros,0.2361544371,['Privacy & security terms<--privacidad'],,,,relacionada,0.296934098,-,,,,emails,0.2829453051,-,,,,extent,0.209428519,-,,,,sourced,0.2279011905,-,,,,conciencia,0.2230635881,-,,,,company,0.3227954209,['Companies and Organizations<--users'],,,,
77,niega,0.2355666459,-,,,,preservar,0.2966892123,-,,,,automatically,0.2829033136,-,,,,contacts,0.2091844529,['Data & Information<--information'],,,,paytm,0.227856636,-,,,,preferencias,0.2225970477,-,,,,api,0.3223470747,-,,,,
78,bobo,0.2352456301,-,,,,borrafacebook,0.2966868877,-,,,,contacts,0.2820689678,['Data & Information<--information'],,,,illegally,0.2084388137,-,,,,priya,0.2277533263,-,,,,masivo,0.2224842906,-,,,,interests,0.3222309649,-,,,,
79,aceptar,0.2351897657,['Ownership agency<--informacion'],,,,ingenieros,0.296459198,-,,,,amounts,0.281780839,-,,,,powers,0.2077531815,-,,,,mails,0.2277269065,-,,,,valiosos,0.2223830074,-,,,,unknowing,0.3208686113,-,,,,
80,permiso,0.2350046188,-,,,,almacenamiento,0.2950921953,-,,,,andme,0.28159374,-,,,,uploaded,0.2050354332,-,,,,screenshots,0.2268218845,-,,,,instituciones,0.2218123674,-,,,,compile,0.3199344277,-,,,,
81,tecnotips,0.2339227051,-,,,,life,0.2945186794,-,,,,login,0.2815485001,-,,,,ads,0.2032097727,-,,,,photos,0.2266735137,-,,,,externos,0.2218111157,['Attribute or characteristic<--usuarios'],,,,amounts,0.3185928762,-,,,,
82,estupidos,0.2332688868,-,,,,politicautil,0.2939558625,-,,,,quizzes,0.2803148031,-,,,,use,0.2017289549,['Action<--users'],,,,exploitation,0.2265005112,-,,,,test,0.2215790451,-,,,,potentially,0.3156366944,-,,,,
83,verificar,0.2331129909,-,,,,protegiendo,0.2933663726,-,,,,utilized,0.2800921202,-,,,,need,0.2006351948,-,,,,knowingly,0.2263877094,['Reaction or attitude<--information'],,,,particular,0.2207503915,-,,,,datamine,0.3148596287,-,,,,
84,reforma,0.2329639494,-,,,,espera,0.2909951508,-,,,,track,0.2795535624,-,,,,quiz,0.2005923986,-,,,,stuff,0.2253391296,-,,,,frecuencia,0.2205091119,-,,,,monetise,0.3131793737,-,,,,
85,comprobar,0.2328616083,-,,,,cuanta,0.2876570225,-,,,,troves,0.279001832,-,,,,social,0.2004457414,-,,,,including,0.2252333164,-,,,,obtenidos,0.2198649049,"['Data collection, handling and/or storage<--usuarios']",,,,ssn,0.3123025298,-,,,,
86,menos,0.2327924967,-,,,,lanzamiento,0.28722471,-,,,,site,0.2781608701,"['Data collection, handling and/or storage<--company']",,,,able,0.200130254,-,,,,behavior,0.2237139046,-,,,,usuario,0.2196666896,['Synonymous<--usuarios'],,,,passwords,0.312163204,-,,,,
87,juanmedina,0.2324502468,-,,,,hpe,0.2865291238,-,,,,accts,0.2766800225,-,,,,tailor,0.1991461068,-,,,,place,0.2235524207,-,,,,presionar,0.219040513,-,,,,browsing,0.3120409548,-,,,,
88,acceso,0.2318585962,-,,,,fabricaran,0.2865010202,-,,,,stored,0.2759884,-,,,,compensation,0.1980201006,-,,,,superuser,0.2213199139,-,,,,publicitarios,0.2189810276,['Undetermined<--usuarios'],,,,devices,0.3114634752,-,,,,
89,permitio,0.2309981287,-,,,,dockio,0.2864440084,-,,,,without,0.2754174471,-,,,,permissions,0.197722286,['Ownership agency<--users'],,,,moreover,0.2194951922,-,,,,cuestionario,0.2186559588,-,,,,tool,0.3113330603,-,,,,
90,utilizada,0.2297199517,-,,,,infosalud,0.2857517898,-,,,,vpn,0.2736062109,-,,,,type,0.1976912767,-,,,,telcos,0.2190074623,-,,,,aplicacion,0.2179633826,-,,,,unethically,0.3112694323,-,,,,
91,esencial,0.2296764255,-,,,,menu,0.2855243087,-,,,,api,0.2721881866,-,,,,identifiable,0.1975039244,-,,,,unnecessary,0.2185518742,-,,,,corporaciones,0.217335999,-,,,,sites,0.310808897,"['Data collection, handling and/or storage<--users']",,,,
92,terminos,0.2296231836,-,,,,mundialderusia,0.285410285,-,,,,email,0.2711940408,-,,,,specifically,0.1961333752,-,,,,profit,0.217708528,-,,,,reporten,0.2173023075,-,,,,ability,0.3100404441,-,,,,
93,falsos,0.2283336818,-,,,,almacenar,0.2848694324,-,,,,benefit,0.2710368037,-,,,,manipulate,0.1957018375,-,,,,hundreds,0.2176092416,-,,,,via,0.2168996632,-,,,,websites,0.3093793988,"['Data collection, handling and/or storage<--users']",,,,
94,analitica,0.2277744412,-,,,,obama,0.2826552391,-,,,,internet,0.2707404494,-,,,,conversations,0.1953660995,-,,,,hospitals,0.2174509019,-,,,,polemica,0.216030404,-,,,,peoples,0.3077482581,['Users<--users'],,,,
95,ahi,0.2273141444,-,,,,conexiones,0.2822532654,-,,,,improperly,0.2706474662,-,,,,archive,0.1943321526,-,,,,prevent,0.2172975242,-,,,,analytica,0.2144583762,"['Companies and Organizations<--empresa', 'Companies and Organizations<--usuarios']",,,,extent,0.3073834181,-,,,,
96,permitieron,0.2268799394,-,,,,salvo,0.28181234,-,,,,access,0.2703872919,"['Data collection, handling and/or storage<--information', 'Data collection, handling and/or storage<--users']",,,,trackers,0.1934262663,-,,,,phrase,0.2172875404,-,,,,informar,0.2144557536,-,,,,tracked,0.3071012497,-,,,,
97,pudo,0.2262776494,-,,,,cuantas,0.2808410525,-,,,,psychographic,0.2700762153,-,,,,lists,0.1921993941,-,,,,possible,0.2172386348,-,,,,caracter,0.2140580118,-,,,,extensions,0.3066008091,-,,,,
98,mitigar,0.2260204852,-,,,,correo,0.2808246613,-,,,,tool,0.269985199,-,,,,target,0.1920030117,-,,,,dozens,0.2163027227,-,,,,ineccr,0.2133368403,-,,,,platforms,0.3063753545,"['Data collection, handling and/or storage<--company']",,,,
99,condiciones,0.2238442004,-,,,,marvel,0.280571878,-,,,,notified,0.2690746784,-,,,,copy,0.1917277277,-,,,,computation,0.2136648446,-,,,,data,0.2132675946,"['Data & Information<--company', 'Data & Information<--information', 'Data & Information<--users', 'Data & Information<--privacy']",,,,detail,0.3037250936,-,,,,
