Information,latinamerica_spanish,latinamerica_spanish_scores,latinamerica_spanish_recomendacion,Felipe_latinamerica_spanish,Felipe,Acuerdo_latinamerica_spanish,europe_spanish,europe_spanish_scores,europe_spanish_recomendacion,Andrea,Felipe_europe_spanish,Acuerdo_europe_spanish,northamerica_english,northamerica_english_scores,northamerica_english_recomendacion,Andrea,Felipe_northamerica_english,Acuerdo_northamerica_english,europe_english,europe_english_scores,europe_english_recomendacion,Andrea,Felipe_europe_english,Acuerdo_europe_english,asia_english,asia_english_scores,asia_english_recomendacion,Andrea,Felipe_asia_english,Acuerdo_asia_english,full_spanish,full_spanish_scores,full_spanish_recomendacion,Andrea,Felipe_full_spanish,Acuerdo_full_spanish,full_english,full_english_scores,full_english_recomendacion,Andrea,Felipe_full_english,Acuerdo_full_english,Termino_Central
10,dato,0.323644489,['Data & Information<--informacion'],Data & Information,Data & Information,Data & Information,protege,0.3668555021,-,Ownership agency,Ownership agency,Ownership agency,advertisers,0.3730970919,"['Companies and Organizations<--company', 'Companies and Organizations<--information', 'Companies and Organizations<--users', 'Companies and Organizations<--privacy']",Companies,Companies,Companies,sensitive,0.2672697604,['Attribute or characteristic<--information'],Attribute or characteristic,Attribute or characteristic,Attribute or characteristic,purposes,0.2993878126,-,Undetermined,Undetermined,Undetermined,autorizacion,0.2986293733,"['Ownership agency<--informacion', 'Ownership agency<--usuarios']",Ownership agency,Ownership agency,Ownership agency,user,0.4352306128,"['Users<--company', 'Users<--information', 'Synonymous<--users', 'Users<--privacy']",Users,Users,Users,Information
11,practica,0.3159836531,-,Action,Action,Action,registrados,0.3658621311,-,Attribute or characteristic,Attribute or characteristic,Attribute or characteristic,unauthorized,0.3716308773,-,Attribute or characteristic,Attribute or characteristic,Attribute or characteristic,profiles,0.266492933,"['Data & Information<--information', 'Data & Information<--users']",Data & Information,Data & Information,Data & Information,tool,0.2952201962,-,"Data collection, handling and/or storage","Data collection, handling and/or storage","Data collection, handling and/or storage",fines,0.2959275246,"['Undetermined<--informacion', 'Undetermined<--usuarios']",Undetermined,Undetermined,Undetermined,consent,0.4330372214,"['Ownership agency<--information', 'Ownership agency<--users', 'Ownership agency<--privacy']",Ownership agency,Ownership agency,Ownership agency,Information
12,idea,0.314358294,-,Undetermined,Undetermined,Undetermined,locales,0.3652396202,-,Attribute or characteristic,Attribute or characteristic,Attribute or characteristic,private,0.3696659803,"['Attribute or characteristic<--information', 'Attribute or characteristic<--users', 'Synonymous<--privacy']",Attribute or characteristic,Attribute or characteristic,Attribute or characteristic,user,0.2650440335,"['Users<--company', 'Users<--information', 'Synonymous<--users', 'Users<--privacy']",Users,Users,Users,collected,0.2937449813,"['Data collection, handling and/or storage<--information', 'Data collection, handling and/or storage<--users']","Data collection, handling and/or storage","Data collection, handling and/or storage","Data collection, handling and/or storage",personal,0.2954514325,"['Attribute or characteristic<--company', 'Attribute or characteristic<--informacion', 'Attribute or characteristic<--information', 'Attribute or characteristic<--users', 'Attribute or characteristic<--privacy']",Attribute or characteristic,Attribute or characteristic,Attribute or characteristic,advertisers,0.4315288067,"['Companies and Organizations<--company', 'Companies and Organizations<--information', 'Companies and Organizations<--users', 'Companies and Organizations<--privacy']",Companies,Companies,Companies,Information
13,conciencia,0.3119564056,-,Ownership agency,Ownership agency,Ownership agency,libertad,0.3648022413,-,Undetermined,Undetermined,Undetermined,companies,0.3676762283,"['Synonymous<--company', 'Companies and Organizations<--information', 'Companies and Organizations<--users', 'Companies and Organizations<--privacy']",Companies,Companies,Companies,collected,0.2649727464,"['Data collection, handling and/or storage<--information', 'Data collection, handling and/or storage<--users']","Data collection, handling and/or storage","Data collection, handling and/or storage","Data collection, handling and/or storage",opinions,0.2923060358,-,Undetermined,Undetermined,Undetermined,personales,0.2847599983,"['Attribute or characteristic<--informacion', 'Attribute or characteristic<--usuarios']",Attribute or characteristic,Attribute or characteristic,Attribute or characteristic,permission,0.4259254038,['Ownership agency<--information'],Ownership agency,Ownership agency,Ownership agency,Information
14,terceros,0.3112588823,"['Third party<--informacion', 'Third party<--usuarios', 'Third party<--privacidad']",Third party,Third party,Third party,impuesto,0.3614305258,-,Undetermined,Undetermined,Undetermined,privatedata,0.3672273755,-,Data & Information,Data & Information,Data & Information,profile,0.2543198764,['Data & Information<--information'],Data & Information,Data & Information,Data & Information,interests,0.2879552543,-,Undetermined,Undetermined,Undetermined,si,0.282597661,['Undetermined<--informacion'],Undetermined,Undetermined,Undetermined,metadata,0.4175872505,['Data & Information<--information'],Data & Information,Data & Information,Data & Information,Information
15,vendida,0.3080788255,-,Privacy & security risks,Privacy & security risks,Privacy & security risks,fuerzas,0.3601098061,-,Undetermined,Undetermined,Undetermined,profiles,0.3640490472,"['Data & Information<--information', 'Data & Information<--users']",Data & Information,Data & Information,Data & Information,privately,0.2528636456,-,Privacy & security terms,Privacy & security terms,Privacy & security terms,profile,0.2842726111,['Data & Information<--information'],Data & Information,Data & Information,Data & Information,ubicacion,0.2808083296,['Data & Information<--informacion'],Data & Information,Data & Information,Data & Information,datas,0.4043669105,['Data & Information<--information'],Data & Information,Data & Information,Data & Information,Information
16,cierta,0.2998842597,-,Attribute or characteristic,Attribute or characteristic,Attribute or characteristic,alcaladeguadaira,0.3581998944,-,Third party,Third party,Third party,willingly,0.3626993299,['Reaction or attitude<--information'],Reaction or attitude,Reaction or attitude,Reaction or attitude,improperly,0.2526427507,-,Reaction or attitude,Reaction or attitude,Reaction or attitude,insights,0.2828849256,-,Reaction or attitude,Reaction or attitude,Reaction or attitude,ecomlancer,0.27891469,['Third party<--informacion'],Third party,Third party,Third party,companies,0.4018161595,"['Synonymous<--company', 'Companies and Organizations<--information', 'Companies and Organizations<--users', 'Companies and Organizations<--privacy']",Companies,Companies,Companies,Information
17,indiscriminada,0.2975427508,-,Attribute or characteristic,Attribute or characteristic,Attribute or characteristic,estafa,0.3532011509,-,Privacy & security risks,Privacy & security risks,Privacy & security risks,also,0.3612672091,"['Undetermined<--company', 'Undetermined<--information']",Undetermined,Undetermined,Undetermined,aggregated,0.2504335642,-,"Data collection, handling and/or storage","Data collection, handling and/or storage","Data collection, handling and/or storage",profiles,0.2825952768,"['Data & Information<--information', 'Data & Information<--users']",Data & Information,Data & Information,Data & Information,atender,0.2788396478,['Action<--informacion'],Action,Action,Action,individuals,0.4008508921,"['Third party<--information', 'Third party<--users']",Third party,Third party,Third party,Information
18,sincero,0.2969023585,-,Reaction or attitude,Reaction or attitude,Reaction or attitude,costa,0.3498653769,-,Undetermined,Undetermined,Undetermined,dna,0.3609220088,['Data & Information<--information'],Data & Information,Data & Information,Data & Information,function,0.2496411651,-,Undetermined,Undetermined,Undetermined,advertisers,0.2793308794,"['Companies and Organizations<--company', 'Companies and Organizations<--information', 'Companies and Organizations<--users', 'Companies and Organizations<--privacy']",Companies,Companies,Companies,viatec,0.2749466598,"['Third party<--informacion', 'Third party<--privacidad']",Third party,Third party,Third party,freely,0.3958227336,['Reaction or attitude<--information'],Reaction or attitude,Reaction or attitude,Reaction or attitude,Information
19,perfiles,0.28984496,"['Data & Information<--informacion', 'Data & Information<--usuarios']",Data & Information,Data & Information,Data & Information,falso,0.3498480618,-,Attribute or characteristic,Attribute or characteristic,Attribute or characteristic,histories,0.3603420258,-,Undetermined,Undetermined,Undetermined,messages,0.2496014386,['Data & Information<--information'],Data & Information,Data & Information,Data & Information,advertisement,0.276457727,-,Action,Action,Action,privada,0.2715060413,['Attribute or characteristic<--informacion'],Attribute or characteristic,Attribute or characteristic,Attribute or characteristic,informations,0.394738853,['Synonymous<--information'],Synonymous,Synonymous,Synonymous,Information
