,latinamerica_spanish,latinamerica_spanish_scores,latinamerica_spanish_recomendacion,Andrea,Felipe_latinamerica_spanish,Acuerdo_latinamerica_spanish,europe_spanish,europe_spanish_scores,europe_spanish_recomendacion,Andrea,Felipe_europe_spanish,Acuerdo_europe_spanish,northamerica_english,northamerica_english_scores,northamerica_english_recomendacion,Andrea,Felipe_northamerica_english,Acuerdo_northamerica_english,europe_english,europe_english_scores,europe_english_recomendacion,Andrea,Felipe_europe_english,Acuerdo_europe_english,asia_english,asia_english_scores,asia_english_recomendacion,Andrea,Felipe_asia_english,Acuerdo_asia_english,full_spanish,full_spanish_scores,full_spanish_recomendacion,Andrea,Felipe_full_spanish,Acuerdo_full_spanish,full_english,full_english_scores,full_english_recomendacion,Andrea,Felipe_full_english,Acuerdo_full_english,Término Central
10,exempleado,0.294567436,-,Third party,Third party,Third party,empleabilidad,0.3725538552,-,Undetermined,Undetermined,Undetermined,corporation,0.3623644412,['Synonymous<--company'],Synonymous,Synonymous,Synonymous,users,0.2419492304,"['Users<--company', 'Users<--information', 'Users<--privacy']",Users,Users,Users,giant,0.2660909295,['Attribute or characteristic<--company'],Attribute or characteristic,Attribute or characteristic,Attribute or characteristic,ltd,0.2567392588,['Attribute or characteristic<--empresa'],Attribute or characteristic,Attribute or characteristic,Attribute or characteristic,facebook,0.4107868671,"['Companies and Organizations<--empresa', 'Companies and Organizations<--company', 'Companies and Organizations<--informacion', 'Companies and Organizations<--information', 'Companies and Organizations<--usuarios', 'Companies and Organizations<--users', 'Companies and Organizations<--privacidad', 'Companies and Organizations<--privacy']",Companies,Companies,Companies,Company
11,relacion,0.2926371098,['Undetermined<--empresa'],Undetermined,Undetermined,Undetermined,mover,0.3712683916,-,Action,Action,Action,businesses,0.3610447347,['Synonymous<--company'],Synonymous,Synonymous,Synonymous,giant,0.2379000485,['Attribute or characteristic<--company'],Attribute or characteristic,Attribute or characteristic,Attribute or characteristic,emerdata,0.2650778294,-,Companies,Companies,Companies,manera,0.2511748374,['Undetermined<--empresa'],Undetermined,Undetermined,Undetermined,corporation,0.4097082615,['Synonymous<--company'],Synonymous,Synonymous,Synonymous,Company
12,involucra,0.2910586596,-,Action,Action,Action,segura,0.3693732321,-,Privacy & security terms,Privacy & security terms,Privacy & security terms,firms,0.3609106541,['Synonymous<--company'],Synonymous,Synonymous,Synonymous,data,0.2367191911,"['Data & Information<--company', 'Data & Information<--information', 'Data & Information<--users', 'Data & Information<--privacy']",Data & Information,Data & Information,Data & Information,controversial,0.2620126009,-,Attribute or characteristic,Attribute or characteristic,Attribute or characteristic,facebook,0.2487795949,"['Companies and Organizations<--empresa', 'Companies and Organizations<--company', 'Companies and Organizations<--informacion', 'Companies and Organizations<--information', 'Companies and Organizations<--usuarios', 'Companies and Organizations<--users', 'Companies and Organizations<--privacidad', 'Companies and Organizations<--privacy']",Companies,Companies,Companies,fb,0.4072083831,"['Companies and Organizations<--company', 'Companies and Organizations<--information', 'Companies and Organizations<--users', 'Companies and Organizations<--privacy']",Companies,Companies,Companies,Company
13,definir,0.2903712988,-,Action,Action,Action,tratar,0.3676932156,-,Action,Action,Action,business,0.350923568,['Synonymous<--company'],Synonymous,Synonymous,Synonymous,explicitly,0.23198089,-,Reaction or attitude,Reaction or attitude,Reaction or attitude,reportedly,0.2531710267,-,Undetermined,Undetermined,Undetermined,ilegalmente,0.2476600707,"['Privacy & security risks<--empresa', 'Privacy & security risks<--informacion', 'Privacy & security risks<--usuarios']",Privacy & security risks,Privacy & security risks,Privacy & security risks,organisation,0.3968455791,['Synonymous<--company'],Synonymous,Synonymous,Synonymous,Company
14,tacticas,0.2874706388,-,Action,Action,Action,recuperan,0.3663193285,-,"Data collection, handling and/or storage","Data collection, handling and/or storage","Data collection, handling and/or storage",information,0.3391877115,"['Data & Information<--company', 'Data & Information<--users']",Data & Information,Data & Information,Data & Information,companys,0.2304832786,['Synonymous<--company'],Synonymous,Synonymous,Synonymous,parent,0.2521780431,-,Attribute or characteristic,Attribute or characteristic,Attribute or characteristic,ello,0.2453795522,['Undetermined<--empresa'],Undetermined,Undetermined,Undetermined,business,0.3884851933,['Synonymous<--company'],Synonymous,Synonymous,Synonymous,Company
15,procesos,0.2838824391,['Action<--empresa'],Action,Action,Action,elemento,0.3662888408,-,Undetermined,Undetermined,Undetermined,privacy,0.3323553205,['Privacy & security terms<--users'],Privacy & security terms,Privacy & security terms,Privacy & security terms,agency,0.2273691595,['Third party<--company'],Third party,Third party,Third party,palantir,0.2519314885,-,Companies,Companies,Companies,empresas,0.2440524697,['Synonymous<--empresa'],Synonymous,Synonymous,Synonymous,users,0.3873237669,"['Users<--company', 'Users<--information', 'Users<--privacy']",Users,Users,Users,Company
16,personal,0.2831744254,"['Attribute or characteristic<--company', 'Attribute or characteristic<--informacion', 'Attribute or characteristic<--information', 'Attribute or characteristic<--users', 'Attribute or characteristic<--privacy']",Privacy & security terms,Privacy & security terms,Privacy & security terms,descubra,0.3661500216,-,Action,Action,Action,personal,0.3297417164,"['Attribute or characteristic<--company', 'Attribute or characteristic<--informacion', 'Attribute or characteristic<--information', 'Attribute or characteristic<--users', 'Attribute or characteristic<--privacy']",Privacy & security terms,Privacy & security terms,Privacy & security terms,confirming,0.2252912819,-,Action,Action,Action,rebranding,0.2467563003,-,Action,Action,Action,ca,0.2428015023,"['Companies and Organizations<--empresa', 'Companies and Organizations<--company']",Companies,Companies,Companies,businesses,0.3864455819,['Synonymous<--company'],Synonymous,Synonymous,Synonymous,Company
17,reputacion,0.2829619348,-,Undetermined,Undetermined,Undetermined,cumplir,0.3660357296,-,Action,Action,Action,organization,0.3263812363,['Synonymous<--company'],Third party,Third party,Third party,scu,0.2241541743,-,Undetermined,Undetermined,Undetermined,however,0.2434922904,-,Undetermined,Undetermined,Undetermined,propios,0.2415630668,['Undetermined<--empresa'],Undetermined,Undetermined,Undetermined,service,0.3626808524,['Action<--company'],Action,Action,Action,Company
18,injerencia,0.2828734517,['Reaction or attitude<--empresa'],Reaction or attitude,Reaction or attitude,Reaction or attitude,gestionar,0.3604184985,-,Action,Action,Action,giant,0.3223363757,['Attribute or characteristic<--company'],Attribute or characteristic,Attribute or characteristic,Attribute or characteristic,purposes,0.21911259,-,Undetermined,Undetermined,Undetermined,contain,0.2419694364,-,Action,Action,Action,marca,0.2395859212,['Undetermined<--empresa'],Undetermined,Undetermined,Undetermined,ca,0.3606621325,"['Companies and Organizations<--empresa', 'Companies and Organizations<--company']",Companies,Companies,Companies,Company
19,bloomsbury,0.2827796042,['Companies and Organizations<--empresa'],Companies,Companies,Companies,pyme,0.3555424511,-,Third party,Third party,Third party,agency,0.3132867515,['Third party<--company'],Third party,Third party,Third party,unpaid,0.2190330625,-,Undetermined,Undetermined,Undetermined,acknowledged,0.2400185764,-,Reaction or attitude,Reaction or attitude,Reaction or attitude,determinar,0.2380975783,['Action<--empresa'],Action,Action,Action,site,0.3595726192,"['Data collection, handling and/or storage<--company']","Data collection, handling and/or storage","Data collection, handling and/or storage","Data collection, handling and/or storage",Company
20,ilegalmente,0.2824681699,"['Privacy & security risks<--empresa', 'Privacy & security risks<--informacion', 'Privacy & security risks<--usuarios']",Privacy & security risks,Privacy & security risks,Privacy & security risks,trata,0.3529776037,-,Action,Action,Action,product,0.3121461272,['Undetermined<--company'],Undetermined,Undetermined,Undetermined,deny,0.2190322578,-,Reaction or attitude,Reaction or attitude,Reaction or attitude,surprised,0.2379387915,-,Reaction or attitude,Reaction or attitude,Reaction or attitude,scl,0.2380316257,['Companies and Organizations<--empresa'],Companies,Companies,Companies,personal,0.3494248986,"['Attribute or characteristic<--company', 'Attribute or characteristic<--informacion', 'Attribute or characteristic<--information', 'Attribute or characteristic<--users', 'Attribute or characteristic<--privacy']",Privacy & security terms,Privacy & security terms,Privacy & security terms,Company
