,latinamerica_spanish,latinamerica_spanish_scores,latinamerica_spanish_recomendacion,Andrea,Felipe_latinamerica_spanish,Acuerdo_latinamerica_spanish,europe_spanish,europe_spanish_scores,europe_spanish_recomendacion,Andrea,Felipe_europe_spanish,Acuerdo_europe_spanish,northamerica_english,northamerica_english_scores,northamerica_english_recomendacion,Andrea,Felipe_northamerica_english,Acuerdo_northamerica_english,europe_english,europe_english_scores,europe_english_recomendacion,Andrea,Felipe_europe_english,Acuerdo_europe_english,asia_english,asia_english_scores,asia_english_recomendacion,Andrea,Felipe_asia_english,Acuerdo_asia_english,full_spanish,full_spanish_scores,full_spanish_recomendacion,Andrea,Felipe_full_spanish,Acuerdo_full_spanish,full_english,full_english_scores,full_english_recomendacion,Andrea,Felipe_full_english,Acuerdo_full_english,Término Central
10,personales,0.3765990734,"['Attribute or characteristic<--informacion', 'Attribute or characteristic<--usuarios']",Privacy & security terms,Privacy & security terms,Privacy & security terms,exige,0.4392947257,-,Reaction or attitude,Reaction or attitude,Reaction or attitude,apps,0.4579537809,"['Data collection, handling and/or storage<--information', 'Data collection, handling and/or storage<--users', 'Data collection, handling and/or storage<--privacy']","Data collection, handling and/or storage","Data collection, handling and/or storage","Data collection, handling and/or storage",europeans,0.3619982004,-,Third party,Third party,Third party,improperly,0.3271709085,-,Reaction or attitude,Reaction or attitude,Reaction or attitude,ilegal,0.3395749331,['Privacy & security risks<--usuarios'],Privacy & security risks,Privacy & security risks,Privacy & security risks,apps,0.5116177201,"['Data collection, handling and/or storage<--information', 'Data collection, handling and/or storage<--users', 'Data collection, handling and/or storage<--privacy']","Data collection, handling and/or storage","Data collection, handling and/or storage","Data collection, handling and/or storage",Usuarios
11,consentimiento,0.3661485314,['Ownership agency<--informacion'],Ownership agency,Ownership agency,Ownership agency,expuso,0.4388006926,-,Reaction or attitude,Reaction or attitude,Reaction or attitude,information,0.4578669071,"['Data & Information<--company', 'Data & Information<--users']",Data & Information,Data & Information,Data & Information,settings,0.3603949249,-,Privacy & security terms,Privacy & security terms,Privacy & security terms,permissions,0.3242146969,['Ownership agency<--users'],Ownership agency,Ownership agency,Ownership agency,clientes,0.3340790272,"['Users<--empresa', 'Third party<--usuarios']",Users,Users,Users,individuals,0.5058968067,"['Third party<--information', 'Third party<--users']",Third party,Third party,Third party,Usuarios
12,obtenido,0.3660055995,-,"Data collection, handling and/or storage","Data collection, handling and/or storage","Data collection, handling and/or storage",afecto,0.4357983768,-,Undetermined,Undetermined,Undetermined,app,0.4542914927,"['Data collection, handling and/or storage<--company', 'Data collection, handling and/or storage<--users']","Data collection, handling and/or storage","Data collection, handling and/or storage","Data collection, handling and/or storage",subscribers,0.3552867472,['Users<--users'],Users,Users,Users,personal,0.3220039904,"['Attribute or characteristic<--company', 'Attribute or characteristic<--informacion', 'Attribute or characteristic<--information', 'Attribute or characteristic<--users', 'Attribute or characteristic<--privacy']",Privacy & security terms,Privacy & security terms,Privacy & security terms,usuario,0.3296935856,['Synonymous<--usuarios'],Synonymous,Synonymous,Synonymous,advertisers,0.4995304942,"['Companies and Organizations<--company', 'Companies and Organizations<--information', 'Companies and Organizations<--users', 'Companies and Organizations<--privacy']",Companies,Companies,Companies,Usuarios
13,obtuvo,0.3632747233,-,"Data collection, handling and/or storage","Data collection, handling and/or storage","Data collection, handling and/or storage",contactos,0.4351552427,['Data & Information<--informacion'],Data & Information,Data & Information,Data & Information,info,0.4210453033,"['Synonymous<--informacion', 'Synonymous<--information', 'Data & Information<--users']",Data & Information,Data & Information,Data & Information,storing,0.3533664048,-,"Data collection, handling and/or storage","Data collection, handling and/or storage","Data collection, handling and/or storage",advertisers,0.3210384846,"['Companies and Organizations<--company', 'Companies and Organizations<--information', 'Companies and Organizations<--users', 'Companies and Organizations<--privacy']",Companies,Companies,Companies,indebidamente,0.3259800076,['Privacy & security risks<--usuarios'],Privacy & security risks,Privacy & security risks,Privacy & security risks,privacy,0.4772493839,['Privacy & security terms<--users'],Privacy & security terms,Privacy & security terms,Privacy & security terms,Usuarios
14,ilegalmente,0.3611335754,"['Privacy & security risks<--empresa', 'Privacy & security risks<--informacion', 'Privacy & security risks<--usuarios']",Privacy & security risks,Privacy & security risks,Privacy & security risks,reconoce,0.433948338,-,Reaction or attitude,Reaction or attitude,Reaction or attitude,platform,0.4133913219,"['Data collection, handling and/or storage<--company', 'Data collection, handling and/or storage<--users']","Data collection, handling and/or storage","Data collection, handling and/or storage","Data collection, handling and/or storage",apps,0.344160229,"['Data collection, handling and/or storage<--information', 'Data collection, handling and/or storage<--users', 'Data collection, handling and/or storage<--privacy']","Data collection, handling and/or storage","Data collection, handling and/or storage","Data collection, handling and/or storage",affected,0.3122172356,-,Attribute or characteristic,Attribute or characteristic,Attribute or characteristic,obtenidos,0.324541837,"['Data collection, handling and/or storage<--usuarios']","Data collection, handling and/or storage","Data collection, handling and/or storage","Data collection, handling and/or storage",information,0.4766918421,"['Data & Information<--company', 'Data & Information<--users']",Data & Information,Data & Information,Data & Information,Usuarios
15,expuestos,0.3605332673,-,Privacy & security risks,Privacy & security risks,Privacy & security risks,accedio,0.4334849715,-,"Data collection, handling and/or storage","Data collection, handling and/or storage","Data collection, handling and/or storage",advertisers,0.403197825,"['Companies and Organizations<--company', 'Companies and Organizations<--information', 'Companies and Organizations<--users', 'Companies and Organizations<--privacy']",Companies,Companies,Companies,fb,0.3358798623,"['Companies and Organizations<--company', 'Companies and Organizations<--information', 'Companies and Organizations<--users', 'Companies and Organizations<--privacy']",Companies,Companies,Companies,data,0.309808135,"['Data & Information<--company', 'Data & Information<--information', 'Data & Information<--users', 'Data & Information<--privacy']",Data & Information,Data & Information,Data & Information,nametests,0.3241108656,"['Data collection, handling and/or storage<--usuarios']","Data collection, handling and/or storage","Data collection, handling and/or storage","Data collection, handling and/or storage",app,0.4736784697,"['Data collection, handling and/or storage<--company', 'Data collection, handling and/or storage<--users']","Data collection, handling and/or storage","Data collection, handling and/or storage","Data collection, handling and/or storage",Usuarios
16,cifra,0.3599407077,-,Undetermined,Undetermined,Undetermined,telefono,0.4334021807,-,Undetermined,Undetermined,Undetermined,use,0.4026800394,['Action<--users'],"Data collection, handling and/or storage","Data collection, handling and/or storage","Data collection, handling and/or storage",contacts,0.3282843828,['Data & Information<--information'],Data & Information,Data & Information,Data & Information,europeans,0.3092315197,-,Third party,Third party,Third party,informacion,0.3217802942,"['Data & Information<--usuarios', 'Data & Information<--privacidad']",Data & Information,Data & Information,Data & Information,citizens,0.4466375113,['Users<--users'],Users,Users,Users,Usuarios
17,acuerdos,0.3581386805,-,Reaction or attitude,Reaction or attitude,Reaction or attitude,cifra,0.4305880666,-,Undetermined,Undetermined,Undetermined,company,0.4013303518,['Companies and Organizations<--users'],Companies,Companies,Companies,limit,0.3238475025,-,Action,Action,Action,collected,0.30742836,"['Data collection, handling and/or storage<--information', 'Data collection, handling and/or storage<--users']","Data collection, handling and/or storage","Data collection, handling and/or storage","Data collection, handling and/or storage",facebook,0.3193710446,"['Companies and Organizations<--empresa', 'Companies and Organizations<--company', 'Companies and Organizations<--informacion', 'Companies and Organizations<--information', 'Companies and Organizations<--usuarios', 'Companies and Organizations<--users', 'Companies and Organizations<--privacidad', 'Companies and Organizations<--privacy']",Companies,Companies,Companies,profiles,0.4368708134,"['Data & Information<--information', 'Data & Information<--users']",Data & Information,Data & Information,Data & Information,Usuarios
18,identificar,0.3560757637,-,Privacy & security terms,Privacy & security terms,Privacy & security terms,grindr,0.4206643701,-,Companies,Companies,Companies,companies,0.4010446966,"['Synonymous<--company', 'Companies and Organizations<--information', 'Companies and Organizations<--users', 'Companies and Organizations<--privacy']",Companies,Companies,Companies,default,0.3235949874,['Undetermined<--users'],Undetermined,Undetermined,Undetermined,private,0.302996248,"['Attribute or characteristic<--information', 'Attribute or characteristic<--users', 'Synonymous<--privacy']",Attribute or characteristic,Attribute or characteristic,Attribute or characteristic,datos,0.3191881478,"['Data & Information<--empresa', 'Data & Information<--informacion', 'Data & Information<--usuarios', 'Data & Information<--privacidad']",Data & Information,Data & Information,Data & Information,companies,0.4359260798,"['Synonymous<--company', 'Companies and Organizations<--information', 'Companies and Organizations<--users', 'Companies and Organizations<--privacy']",Companies,Companies,Companies,Usuarios
19,usarios,0.3556761742,['Synonymous<--usuarios'],Synonymous,Synonymous,Synonymous,admite,0.4192810655,-,Action,Action,Action,subscribers,0.4000795782,['Users<--users'],Users,Users,Users,login,0.321444273,-,"Data collection, handling and/or storage","Data collection, handling and/or storage","Data collection, handling and/or storage",peoples,0.3024843931,['Users<--users'],Users,Users,Users,votantes,0.3182405829,['Third party<--usuarios'],Third party,Third party,Third party,collected,0.4309957027,"['Data collection, handling and/or storage<--information', 'Data collection, handling and/or storage<--users']","Data collection, handling and/or storage","Data collection, handling and/or storage","Data collection, handling and/or storage",Usuarios
